name,tags,zeit_minuten,portionen,zutaten,schritte,bild,tipps,original_url,original_quelle
Apfel-Pfannkuchen,dessert; frühstück; vegetarisch; schnell,25,2,2 mittelgroße Äpfel | 150 g Mehl | 250 ml Milch | 2 Eier | 1 EL Zucker | 1 Prise Salz | 1 TL Vanillezucker | Butter zum Braten | Zimt und Zucker zum Bestreuen,"Mehl, Milch, Eier, Zucker, Vanillezucker und Salz zu einem glatten Teig verrühren. Den Teig 10 Min ruhen lassen. | Äpfel schälen, entkernen und in dünne Scheiben (ca. 3 mm) schneiden. | Etwas Butter in einer Pfanne erhitzen. Eine Schöpfkelle Teig hineingeben und sofort einige Apfelscheiben gleichmäßig auf dem Teig verteilen. | Pfannkuchen bei mittlerer Hitze ca. 2-3 Min goldbraun backen, wenden und auf der anderen Seite fertig backen. | So mit dem restlichen Teig verfahren. | Mit Zimtzucker bestreut servieren.",apfel-pfannkuchen.jpg,,,
Gemüse-Flammkuchen,ofengericht; vegetarisch; deutsch; mittel,30,2,1 Flammkuchenteig (fertig aus dem Kühlregal) | 150 g Crème fraîche | 1 kleine Zucchini | 0.5 rote Paprika | 0.5 rote Zwiebel | 100 g Kirschtomaten | 50 g Feta oder Mozzarella | 1 EL Olivenöl | Salz | Pfeffer | 1 Prise Muskat | frische Kräuter,"Ofen auf 220 °C Ober-/Unterhitze vorheizen. | Zucchini und Paprika in dünne Scheiben schneiden. Zwiebel in feine Ringe schneiden. Tomaten halbieren. | Crème fraîche mit Salz, Pfeffer und Muskat verrühren. | Teig auf einem Backblech mit Backpapier ausrollen. Crème fraîche dünn darauf verstreichen, dabei einen schmalen Rand frei lassen. | Gemüse gleichmäßig verteilen. Feta darüberbröseln und mit Olivenöl beträufeln. | Auf der unteren Schiene ca. 12-15 Min backen, bis der Rand goldbraun und knusprig ist. | Vor dem Servieren mit frischen Kräutern bestreuen.",gemuese-flammkuchen.jpg,,,
Kartoffelgratin,ofengericht; vegetarisch; deutsch; aufwendig,90,2,400 g festkochende Kartoffeln | 125 ml Sahne | 125 ml Vollmilch | 1 Knoblauchzehe | Butter für die Form | 0.5 EL Gemüsebrühepulver | Kräutersalz | Pfeffer | frisch geriebene Muskatnuss | Butterflöckchen,"Ofen auf 180 °C Ober-/Unterhitze vorheizen. | Eine flache Auflaufform mit Butter einfetten. Knoblauch schälen, fein hacken oder direkt in die Form pressen und verteilen. | Kartoffeln schälen und in feine Scheiben hobeln. Nicht waschen, damit die Stärke an den Kartoffeln bleibt, die sorgt später für Bindung. | Die Hälfte der Kartoffelscheiben in die Form schichten, mit Kräutersalz und Muskat leicht würzen. Die restlichen Kartoffeln darüber schichten. | Sahne und Milch mischen, kräftig mit Gemüsebrühepulver, Kräutersalz, Muskat und Pfeffer würzen. Über die Kartoffeln gießen, sodass sie knapp bedeckt sind. | Butterflöckchen auf dem Gratin verteilen. | Ca. 1 Stunde backen, bis das Gratin goldbraun ist. Heiß servieren.",kartoffelgratin.jpg,"Vorwiegend festkochende Kartoffeln und ausreichend Backzeit sind der Schlüssel. Wenn das Gratin nach 45 Min noch flüssig wirkt, einfach weiterbacken.",https://www.chefkoch.de/rezepte/644981165672475/Das-beste-Kartoffelgratin.html,Chefkoch
Supersaftiger Apfelkuchen,dessert; vegetarisch; aufwendig,95,8,125 g weiche Butter oder Margarine | 125 g Zucker | 3 Eier | 250 g Mehl | 0.5 Pck. Backpulver | 1.5 kg Äpfel (geschält und entkernt gewogen) | Fett für die Form | reichlich Butter zum Bestreichen | Zucker oder Zimtzucker zum Bestreuen,"Ofen auf 200 °C Ober-/Unterhitze vorheizen. Eine 26er-Springform fetten. | Aus Butter, Zucker, Eiern, Mehl und Backpulver einen Rührteig herstellen. | Äpfel in größere Stücke (z.B. Achtel) schneiden und unter den Teig heben. Es wirkt viel Apfel im Verhältnis zum Teig, das ist gewollt. | Die Masse in die Form geben und etwas glatt streichen. | Auf der unteren Schiene ca. 50-55 Min backen. | Nach 45 Min mit reichlich Butter bestreichen und großzügig mit Zucker oder Zimtzucker bestreuen. | Sollte der Kuchen vorher zu dunkel werden, mit Backpapier abdecken.",apfelkuchen.jpg,"Schmeckt am besten lauwarm mit Schlagsahne. Der Teig dient nur als Klebstoff für die Apfelstücke, daher die saftige Konsistenz. Ergibt einen Kuchen für 8-10 Stücke.",https://www.chefkoch.de/rezepte/1140221220253617/Supersaftiger-Apfelkuchen.html,Chefkoch
Apfel-Crumble,dessert; vegetarisch; schnell,30,2,2 Äpfel (ca. 350 g) | 1 TL Zitronensaft | 0.5 Pck. Vanillinzucker | 0.25 TL Zimt | etwas Butter für die Förmchen | 55 g Mehl | 35 g brauner Zucker | 1 Prise Salz | 35 g kalte Butter | Puderzucker oder Vanilleeis zum Servieren,"Ofen auf 200 °C Ober-/Unterhitze vorheizen. Zwei kleine feuerfeste Förmchen (ca. 8 cm Ø) oder Cappuccino-Tassen fetten. | Äpfel schälen, vierteln, entkernen und in ca. 1 cm große Würfel schneiden. Mit Zitronensaft, Vanillinzucker und Zimt mischen. Beiseite stellen. | Für die Streusel Mehl, braunen Zucker und Salz in einer Schüssel mischen. Kalte Butter in Würfeln zugeben und mit den Händen rasch zu einem krümeligen Teig verkneten. | Apfelwürfel auf die Förmchen verteilen, dabei randhoch einfüllen (sie fallen beim Backen etwas zusammen). | Üppig mit den Streuseln bedecken. | Ca. 20 Min backen, bis die Streusel goldbraun sind. | Am besten warm servieren, nach Belieben mit Puderzucker bestäubt oder mit Vanilleeis.",apfel-crumble.jpg,"Lässt sich gut vorbereiten. Crumble erst kurz vor dem Servieren in den Ofen schieben, dann kommt er heiß auf den Tisch.",https://www.einfachbacken.de/rezepte/apfel-crumble-schnell-einfach,einfach backen
Thai Curry Ofenspitzkohl,vegan; asiatisch; ofengericht; mittel,45,2,"1 kleiner Spitzkohl | 200 g gekochte Linsen (Abtropfgewicht) | 120 g weiße Bohnen (Abtropfgewicht) | 200 g geschälte Tomaten | 100 ml Kokosmilch | 75 ml Gemüsebrühe | 1 gehäufter EL rote Currypaste | 1 EL Olivenöl | Salz | zum Toppen: frischer Koriander, Frühlingszwiebel in dünnen Streifen, gehackte Erdnüsse, Limettensaft","Ofen auf 175 °C Umluft vorheizen. | Bohnen abtropfen lassen und mit den geschälten Tomaten, Kokosmilch, Gemüsebrühe, Currypaste und etwas Salz im Standmixer 2 Min auf höchster Stufe glatt pürieren. | Linsen abtropfen lassen, mit der Sauce in einer ofenfesten Pfanne oder einem Bräter verrühren und kurz aufkochen. | Spitzkohl der Länge nach vierteln, mit Olivenöl einreiben und salzen. | Spitzkohlviertel mit den Schnittflächen nach oben in die Sauce setzen. | Im unteren Drittel des Ofens 30 Min backen. | Vor dem Servieren mit Koriander, Frühlingszwiebel, Erdnüssen und einem Spritzer Limette toppen.",thai-curry-ofenspitzkohl.jpg,,,Instagram
Auberginen Curry,vegan; asiatisch; indisch; aufwendig,60,2,2 mittelgroße Auberginen | 300 g kleine Tomaten | 1 Zwiebel | 2 Knoblauchzehen | 1 Glas Kichererbsen | 100 g rote Linsen | 1 Dose Kokosmilch (400 ml) | 600 ml Wasser | 2 EL Tomatenmark | 1-2 EL Olivenöl | 0.5 TL Kreuzkümmelsamen | 0.5 TL Senfsamen (optional) | 0.5 TL Kurkuma | 0.5 TL Paprikapulver oder mildes Chili | 0.5 TL Garam Masala | Salz und Pfeffer | frische Petersilie | optional: 1 frische grüne Chili,"Ofen auf 220 °C Ober-/Unterhitze vorheizen. | Auberginen würfeln, Tomaten halbieren. Beides mit Öl, Salz und Pfeffer vermengen und auf einem Blech 30-35 Min rösten, bis das Gemüse weich und leicht gebräunt ist. | Eine Pfanne leicht erhitzen, Kreuzkümmel- und Senfsamen kurz trocken anrösten, bis sie springen. Zermörsern. | Zwiebel fein hacken und in etwas Öl glasig anbraten. Knoblauch zugeben und 1 Min mitbraten. | Tomatenmark, Kurkuma, Paprikapulver und etwas Salz einrühren und kurz rösten, bis es duftet. | Mit Wasser und Kokosmilch ablöschen, Linsen zugeben und köcheln lassen, bis das Öl sich leicht von der Sauce trennt. | Kichererbsen abtropfen lassen und in einer zweiten Pfanne mit Öl und Salz knusprig anrösten. | Geröstete Auberginen, Tomaten und Kichererbsen in die Sauce geben und 5-10 Min köcheln lassen. | Mit Salz, Pfeffer und einem Spritzer Zitrone abschmecken. Mit Petersilie und Basmatireis, Quinoa oder Dinkel servieren.",auberginen-curry.jpg,"Mehr Protein durch zusätzlich Tofu, Hähnchen oder Fisch.",,Instagram (@darmfreundliche_rezepte)
Onepot Gyoza,vegetarisch; asiatisch; ofengericht; schnell,30,2,200 g TK-Gyoza | 100 g TK-Edamame | 200 ml Kokosmilch | 100 ml Wasser oder Gemüsebrühe | 2 EL Sojasauce | 1 EL Reisessig | 1 EL Sesamöl | 1 EL rote Currypaste | 2 Knoblauchzehen | 1 Stück Ingwer (ca. 2 cm),"Ofen auf 200 °C Ober-/Unterhitze vorheizen. | Knoblauch und Ingwer fein reiben. | In einer ofenfesten Form oder Pfanne Sojasauce, Reisessig, Sesamöl, Currypaste, Kokosmilch, Wasser, Knoblauch und Ingwer verrühren. | Gyoza und Edamame in die Sauce geben und gut vermengen. | Ca. 25 Min backen.",onepot-gyoza.jpg,"Adaptiert, das Original-Reel hatte keine Mengenangaben. Mengen sind ein Vorschlag.",,Instagram
Asiatische Udon-Bowl,vegan; asiatisch; schnell; bowl,20,2,"400 g Udon-Nudeln | 400 ml Gemüsebrühe | 200 ml Kokosmilch | 2 EL Sesamöl | 2 Knoblauchzehen | 2 cm Ingwer | 2 EL rote Currypaste | 2 EL Misopaste | 2 EL Sojasauce | optional zum Garnieren: Karotte, Lauchzwiebeln, Cashews, Sesam","Knoblauch und Ingwer fein hacken. | In einem Topf das Sesamöl erhitzen und Knoblauch und Ingwer kurz andünsten. | Misopaste, Sojasauce und Currypaste zugeben und kurz mitbraten. | Mit Gemüsebrühe ablöschen, Kokosmilch zugeben und so lange einköcheln lassen, bis die gewünschte cremige Konsistenz erreicht ist. | Udon-Nudeln nach Packungsanweisung kochen. | Nudeln in Schalen verteilen und mit der Suppe übergießen. | Optional mit gehobelten Karotten, Lauchzwiebeln, Cashews und Sesam garnieren.",asiatische-udon-bowl.jpg,,,Instagram
Sweet & Spicy Salmon Bowls,mit-fisch; bowl; asiatisch; lachs; mittel,30,2,"250 g Lachsfilet ohne Haut, gewürfelt | 1 EL Honig | 1 EL Misopaste | 1 EL Sojasauce | 0.5 TL geriebener Ingwer | 2 EL Wasser | 0.5 TL Maisstärke | 150 g Jasminreis | 100 g Edamame (TK) | 1 Salatgurke | 0.5 Jalapeño | 2 EL frischer Koriander | 1 Avocado | Olivenöl | Salz | schwarzer Sesam zum Servieren","Jasminreis nach Packungsanweisung kochen. | Edamame nach Packungsanweisung garen. | Marinade aus Honig, Misopaste, Sojasauce, Ingwer, Wasser und Maisstärke glatt rühren. | Lachswürfel in einer Pfanne mit etwas Öl bei mittlerer Hitze 3-4 Min anbraten, dann mit der Marinade glasieren und 1-2 Min köcheln lassen, bis sie cremig wird. | Für die Salsa Gurke und Jalapeño fein würfeln, Koriander hacken und Avocado in Würfel schneiden. Alles mit etwas Olivenöl und Salz mischen. | Reis in Schalen anrichten, Edamame, Lachs und Salsa darauf verteilen. Mit schwarzem Sesam bestreuen.",sweet-spicy-salmon-bowl.jpg,,,Instagram
Baked Cherry Tomato Pasta,pasta; vegetarisch; italienisch; mittel,35,2,200 g Spaghetti | 400 g Kirschtomaten | 150 g Ricotta | 30 g Parmesan | 4 EL Olivenöl | frisches Basilikum | Salz und Pfeffer,"Ofen auf 200 °C Ober-/Unterhitze vorheizen. | Kirschtomaten in einer Auflaufform mit Olivenöl, Salz und Pfeffer vermengen. 25-30 Min backen, bis sie weich sind und Saft ziehen. | Spaghetti nach Packungsanweisung in Salzwasser bissfest kochen. | Tomaten aus dem Ofen nehmen und mit einer Gabel leicht zerdrücken. Ricotta einrühren, sodass eine cremige Sauce entsteht. | Pasta abgießen und mit der Sauce vermengen. | Mit Parmesan und frischem Basilikum servieren.",baked-cherry-tomato-pasta.jpg,"Adaptiert, das Original-Reel hatte keine Mengenangaben. Mengen sind ein Vorschlag.",,Instagram
Sweet Chili Lachs-Pasta mit Feta,mit-fisch; pasta; lachs; schnell,30,2,100 g Pasta | 2 Lachsfilets (ohne Haut) | 35 g Frischkäse (light) | 20 g Mayonnaise (light) | 20 g Sweet-Chili-Sauce | 7 g Honig | 15 g Feta | 1 Handvoll Rucola | 0.5 TL Paprikapulver | 0.5 TL Chilipulver | 0.5 TL Zwiebelgranulat | 0.5 TL Knoblauchpulver | 0.5 TL gemischte Kräuter | Salz und Pfeffer,"Ofen auf 200 °C Ober-/Unterhitze vorheizen. | Lachsfilets mit Paprika, Chilipulver, Zwiebelgranulat, Knoblauchpulver, Kräutern, Salz und Pfeffer würzen. | Lachs auf einem Blech 12-15 Min im Ofen garen. | Pasta nach Packungsanweisung in Salzwasser bissfest kochen. | Frischkäse, Mayo, Sweet-Chili-Sauce und Honig in einer Schüssel glatt rühren. | Pasta abgießen und mit der Sauce vermengen. | Lachs in Stücke teilen und über die Pasta geben. | Mit zerkrümeltem Feta und frischem Rucola servieren.",sweet-chilli-salmon-pasta.jpg,Original-Angabe: ca. 412 kcal und 25 g Protein pro Portion.,,Instagram (@kirstyskitchenclub)
Kürbis-Karotten-Suppe,vegan; suppe; mittel,50,2,300 g Hokkaido-Kürbis | 2 große Karotten | 1 kleine Zwiebel | 1 kleiner Apfel | 1 Stück Ingwer | 1 Knoblauchzehe | 250 ml Gemüse- oder Knochenbrühe | 1 Schuss Kokosmilch (ca. 75 ml) | Olivenöl | Salz und Pfeffer,"Ofen auf 180 °C Ober-/Unterhitze vorheizen. | Kürbis, Karotten, Zwiebel, Apfel, Ingwer und Knoblauch grob schneiden. | Mit Olivenöl beträufeln, salzen, pfeffern und auf ein Backblech geben. | 30-40 Min rösten, bis das Gemüse weich ist. | Das Ofengemüse in einen Topf geben, mit Brühe aufgießen und fein pürieren. | Mit einem Schuss Kokosmilch cremig mixen und nochmals abschmecken.",kuerbis-karotten-suppe.jpg,Suppen sind besonders bekömmlich und ideal für eine darmfreundliche Ernährung.,,Instagram
"Udon-Pfanne mit Tofu, Mango und Gochujang",vegetarisch; asiatisch; schnell; bowl,25,2,1 Packung Udon-Nudeln (vorgekocht oder getrocknet) | 200 g Tofu (natur) | 1 EL Speisestärke | 1 EL geröstetes Sesamöl | 1 Paprika | 0.5 Mango | 100 g Edamame (TK oder vorgegart) | 1 EL Gochujang | 1 EL Honig oder Mirin | 2 EL Sojasauce | 1 EL Erdnussmus | 3-4 EL Wasser | frischer Koriander zum Toppen,"Udon-Nudeln nach Packungsanleitung kochen und beiseitestellen. | Tofu in mundgerechte Würfel schneiden und in Speisestärke wälzen. | In einer heißen Pfanne mit etwas Öl knusprig anbraten und beiseitestellen. | Für die Sauce Gochujang, Honig (oder Mirin), Sojasauce, Erdnussmus und Wasser glatt verrühren. | Paprika und Mango in Streifen schneiden. | Udon-Nudeln, Edamame, Paprika, Mango und Sauce in eine Pfanne geben und gut vermengen. | Den knusprigen Tofu zum Schluss unterheben, damit er knusprig bleibt. | Mit Koriander toppen und servieren.",udon-tofu-mango.jpg,"Nährwerte ca.: 580 kcal, 25 g Protein, 9 g Ballaststoffe.",,Instagram
Crispy Rice Salad,vegan; bowl; asiatisch; salat; mittel,25,2,200 g gekochter Reis (vom Vortag) | 2 EL Chili-Öl | 2 EL Sojasauce | 2 EL cremige Erdnussbutter | 1 Knoblauchzehe | 1 EL Sriracha | 1 EL Reisessig | 2 EL Wasser | 100 g Edamame | 1 Avocado | 0.5 Salatgurke | 0.5 rote Paprika | 2 Frühlingszwiebeln | frischer Koriander | frischer Dill | gehackte Erdnüsse zum Toppen,"Reis in einer Pfanne mit Chili-Öl bei mittlerer Hitze 10-12 Min knusprig anbraten, ohne zu viel zu rühren, damit der Boden goldbraun wird. | Edamame nach Packungsanweisung garen. | Avocado, Gurke, Paprika und Frühlingszwiebeln klein würfeln. | Für das Dressing Erdnussbutter, Sojasauce, Sriracha, Knoblauch (gerieben), Reisessig und Wasser glatt rühren. | Knusprigen Reis, Edamame und Gemüse in eine Schüssel geben. | Mit Dressing beträufeln, Koriander und Dill darüberstreuen, mit gehackten Erdnüssen toppen.",crispy-rice-salad.jpg,"Adaptiert, das Original-Reel hatte keine Mengenangaben. Mengen sind ein Vorschlag.",,Instagram
